Country,Confirmed,PredictedConfirmed,Ratio
Afghanistan,55231,65353.19,1.1832700838297334
Albania,81993,136918.44,1.6698796238703304
Algeria,108381,131014.61,1.2088337439219052
Andorra,10137,15677.26,1.546538423596725
Angola,19996,26837.33,1.3421349269853973
Argentina,1961635,2864377.51,1.460199022753978
Armenia,167568,191019.87,1.139954346892008
Australia,28842,30048.28,1.0418237292836834
Austria,419801,579282.31,1.3798974037698817
Azerbaijan,230769,266853.57,1.1563666263666263
Bahrain,105496,134456.73,1.2745196974292865
Bangladesh,537030,601881.19,1.1207589706347876
Belarus,253413,409461.42,1.6157869564702678
Belgium,718847,898755.76,1.250274063882857
Belize,12008,15573.05,1.2968895736175883
Bolivia,224234,387749.18,1.7292167111142824
Bosnia and Herzegovina,122828,153948.45,1.253366089165337
Botswana,23503,42533.89,1.8097217376505126
Brazil,9396293,13902733.16,1.479597662610138
Bulgaria,222149,273653.58,1.2318470035876823
Burkina Faso,11053,22659.22,2.050051569709581
Burma,141104,187426.94,1.3282893468647239
Cabo Verde,14290,20627.76,1.443510146955913
Cameroon,30313,39640.67,1.3077118727938508
Canada,798394,1407290.07,1.7626511096025272
Chile,740237,1077539.17,1.4556678063917365
China,100268,112305.74,1.1200556508557067
Colombia,2135412,3469298.11,1.6246504702605398
Congo (Kinshasa),23222,38692.48,1.6661992937731462
Costa Rica,195992,273127.83,1.3935662169884486
Cote d'Ivoire,29102,45603.75,1.5670314754999657
Croatia,234153,301121.5,1.2860031688682187
Cuba,30345,67323.22,2.218593507991432
Cyprus,31379,61059.75,1.9458794097963605
Czechia,1013352,1821889.34,1.797883992926446
Denmark,201020,312718.89,1.5556605810367128
Dominican Republic,218948,342669.05,1.5650704733544036
Ecuador,253339,359990.62,1.420983820098761
Egypt,168057,254017.61,1.5114967540774855
El Salvador,55821,81675.91,1.4631753282814712
Estonia,46334,94243.13,2.0339951223723403
Eswatini,16045,35015.73,2.1823452789030853
Ethiopia,140157,177734.89,1.2681128306113858
Finland,46493,72222.63,1.5534086851784141
France,3310071,4970612.16,1.5016633057115694
Gabon,11129,14354.18,1.2897996226076018
Georgia,260480,353545.09,1.3572830543611794
Germany,2265536,3716430.48,1.6404199624283171
Ghana,69255,94405.74,1.3631613601906
Greece,160935,213858.16,1.328848044241464
Guatemala,161665,225318.63,1.3937378529675564
Guinea,14629,16810.03,1.1490894798003963
Haiti,11692,15982.05,1.3669218268901813
Honduras,152225,226894.99,1.4905238298571193
Hungary,371988,503052.82,1.352336150628515
India,10802591,12193601.88,1.1287664116877145
Indonesia,1123105,2072945.31,1.8457270780559254
Iran,1445326,2004753.31,1.387059604545964
Iraq,624222,695258.88,1.1138006670703693
Ireland,200744,510155.06,2.541321583708604
Israel,675618,1325555.96,1.9619902962916913
Italy,2597446,3896246.14,1.5000296984037398
Jamaica,16250,24014.46,1.477812923076923
Japan,399492,865017.9,2.16529467423628
Jordan,331768,427134.15,1.28744830725085
Kazakhstan,240983,338905.75,1.4063471282206628
Kenya,101339,113847.91,1.12343628810231
"Korea, South",80131,131652.2,1.6429621494802262
Kosovo,61404,85763.89,1.3967150348511497
Kuwait,168250,209647.05,1.2460448736998513
Kyrgyzstan,84920,95634.33,1.126169689119171
Latvia,69400,146101.75,2.1052125360230547
Lebanon,312269,669453.68,2.143836499940756
Libya,122013,174918.98,1.4336093694934147
Lithuania,184948,312746.59,1.6909974154897593
Luxembourg,51330,63709.43,1.2411733878823301
Madagascar,19065,22496.7,1.18
Malawi,25884,67418.26,2.604630659867099
Malaysia,231483,501354.67,2.1658379665029397
Maldives,16410,21800.58,1.328493601462523
Malta,18385,33194.05,1.805496328528692
