Country,Deaths,PredictedDeaths,Ratio
Afghanistan,2407,3039.13,1.2626215205650186
Albania,1418,1975.51,1.3931664315937942
Algeria,2904,3299.02,1.1360261707988981
Argentina,48700,62511.16,1.2835967145790554
Armenia,3107,3880.6,1.2489861602832313
Austria,7936,12540.05,1.5801474294354838
Azerbaijan,3148,4752.97,1.5098379923761118
Bangladesh,8175,9865.32,1.2067669724770642
Belarus,1755,2608.24,1.4861766381766381
Belgium,21260,25928.37,1.2195846660395109
Bolivia,10633,13664.6,1.2851123859682123
Bosnia and Herzegovina,4745,6640.08,1.3993846153846154
Brazil,228795,315558.22,1.3792181647326207
Bulgaria,9272,13911.04,1.500327868852459
Burma,3163,4524.26,1.43036990199178
Canada,20486,33012.18,1.6114507468515085
Chile,18731,23870.18,1.2743676258608723
China,4822,4928.11,1.0220053919535461
Colombia,55131,86334.6,1.5659900963160474
Costa Rica,2662,3992.35,1.499755822689707
Croatia,5106,8443.74,1.653689776733255
Czechia,16826,30659.01,1.8221211220729823
Denmark,2185,4703.57,2.1526636155606407
Dominican Republic,2747,3262.68,1.1877247906807427
Ecuador,14968,16731.08,1.1177899518973813
Egypt,9512,14416.43,1.5156044995794786
El Salvador,1653,2507.01,1.5166424682395645
Ethiopia,2126,2626.46,1.2353998118532457
France,77741,111937.55,1.4398779279916647
Georgia,3240,5223.05,1.6120524691358025
Germany,60634,131034.57,2.1610741498169346
Greece,5903,8807.31,1.492005759783161
Guatemala,5785,8152.53,1.4092532411408816
Honduras,3669,5009.98,1.3654892341237392
Hungary,12832,21577.05,1.6815032730673316
India,154823,170971.21,1.1043011051329583
Indonesia,31001,53787.85,1.7350359665817232
Iran,58256,66338.83,1.13874673853337
Iraq,13091,13771.19,1.0519585975097396
Ireland,3586,6205.61,1.730510317902956
Israel,5001,9143.32,1.8282983403319335
Italy,90241,132820.34,1.4718402943229796
Japan,6172,12996.02,2.1056416072585873
Jordan,4354,5750.2,1.3206706476802939
Kazakhstan,3119,4000.63,1.2826643154857327
Kenya,1773,2028.86,1.1443090806542582
"Korea, South",1459,3072.77,2.106079506511309
Kosovo,1514,1986.54,1.312113606340819
Kyrgyzstan,1420,1702.24,1.1987605633802818
Latvia,1281,2983.51,2.329047619047619
Lebanon,3397,6716.18,1.977091551368855
Libya,1919,3046.14,1.5873579989577904
Lithuania,2885,6047.56,2.096207972270364
Mexico,161240,256158.79,1.5886801662118581
Moldova,3497,4865.75,1.3914069202173291
Morocco,8351,10996.16,1.31674769488684
Nepal,2033,2555.14,1.25683226758485
Netherlands,14346,22102.82,1.540695664296668
Nigeria,1632,2500.72,1.5323039215686274
North Macedonia,2900,3952.41,1.3629
Oman,1532,1618.6,1.056527415143603
Pakistan,11886,16267.49,1.3686261147568568
Panama,5391,9134.33,1.6943665368206269
Paraguay,2779,4146.21,1.4919791291831594
Peru,41538,49123.03,1.1826046030141075
Philippines,10997,15112.78,1.3742638901518596
Poland,38344,63934.99,1.6674053306905905
Portugal,13482,26646.76,1.9764693665628243
Romania,18675,26411.74,1.414283266398929
Russia,74005,119984.35,1.621300587798122
Saudi Arabia,6389,6846.93,1.0716747534825481
Serbia,4085,6570.01,1.608325581395349
Slovakia,4976,12214.86,2.4547548231511254
Slovenia,3580,5969.33,1.6674106145251397
South Africa,45605,91932.56,2.015843876767898
Spain,60802,82185.14,1.3516848129995724
Sudan,1831,2522.69,1.3777662479519388
Sweden,12028,20956.44,1.7423046225473893
Switzerland,9556,14999.57,1.569649434910004
Tunisia,7048,12986.82,1.8426248581157776
Turkey,26467,41788.28,1.5788823818339819
US,455738,735870.11,1.6146779728703773
Ukraine,24429,38111.19,1.5600798231609974
United Kingdom,110462,205708.17,1.862252810921403
Venezuela,1216,1678.15,1.3800575657894738
West Bank and Gaza,1865,3265.44,1.750906166219839
Zimbabwe,1288,3513.28,2.7277018633540373
